predicted_year,section word count,string,Author,Book,Death_date,URI
6,402,"### | سرية زيد بن حارثة إلى أم قرفة في رمضان سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,588,"### | سرية أميرها عبد الله بن رواحة إلى أسير بن زارم في شوال سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,125,"### | سرية عمر بن الخطاب رضي الله عنه إلى تربة في شعبان سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,54,"### | سرية أبي بكر رضي الله عنه إلى نجد في شعبان سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,675,"### | سرية بشير بن سعد إلى فدك في شعبان سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,238,"### | سرية بني عبد بن ثعلبة عليها غالب بن عبد الله إلى الميفعة [ (1) ] في رمضان سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,780,"### | سرية بشير بن سعد إلى الجناب [ (2) ] سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
7,128,"### | سرية ابن أبي العوجاء السلمي في ذي الحجة سنة سبع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
8,377,"### | سرية أميرها غالب بن عبد الله ms589 بالكديد في صفر سنة ثمان
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
8,144,"### | سرية كعب بن عمير إلى ذات أطلاح في شهر ربيع الأول سنة ثمان
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
8,396,"### | سرية شجاع بن وهب إلى السي من أرض بني عامر من ناحية ركبة، في ربيع الأول سنة ثمان، وسرية إلى خثعم بتبالة
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
8,605,"### | سرية خضرة، أميرها أبو قتادة في شعبان سنة ثمان
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
9,93,"### | باب شأن سرية قطبة بن عامر إلى خثعم في صفر سنة تسع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
9,138,"### | شأن سرية أميرها علقمة بن مجزز المدلجي في ربيع الآخر سنة تسع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
9,1091,"### | سرية علي بن أبي طالب عليه السلام إلى الفلس في ربيع الآخر سنة تسع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
9,7657,"### | غزوة أكيدر بن عبد الملك بدومة الجندل في رجب سنة تسع، وهي على عشرة أميال من المدينة.
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
9,490,"### | حجة أبي بكر رضي الله عنه سنة تسع
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
3,2510,"### | ذكر يوم الرجيع في سنة ثلاث
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
4,1102,"### | حديث بئر معونة في صفر سنة أربع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
4,2229,"### | أمر إجلاء بني النضير في سنة أربع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
4,1215,"### | غزوة ذات الرقاع في سنة أربع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
4,585,"### | غزوة بدر الآخرة في شعبان سنة أربع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
5,101,"### | غزوة دومة الجندل في شهر ربيع الأول سنة خمس
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
5,4120,"### | غزوة الخندق في شوال سنة خمس
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
5,4484,"### | غزوة بني قريظة في سنة خمس
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
6,2505,"### | خبر الإفك في غزوة بني المصطلق (سنة ست)
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
6,1715,"### | أمر الحديبية في آخر سنة ست، وذكر بيعة الرضوان والصلح بين رسول الله صلى الله عليه وسلم وبين سهيل بن عمرو
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
7,2012,"### | ذكر المسير إلى خيبر في المحرم سنة سبع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
7,654,"### | عمرة القضاء في ذي القعدة سنة سبع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
8,2692,"### | ذكر غزوة مؤتة في جمادى الأولى سنة ثمان، ومقتل جعفر وزيد وعبد الله بن رواحة
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
8,7663,"### | ذكر الأسباب الموجبة المسير إلى مكة وذكر فتح مكة في شهر رمضان سنة ثمان
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
8,6712,"### | غزوة حنين في سنة ثمان بعد الفتح
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
8,1773,"### | ذكر غزوة الطائف بعد حنين في سنة ثمان
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
8,238,"### | عمرة الرسول من الجعرانة واستخلافه عتاب بن أسيد على مكة، وحج عتاب بالمسلمين سنة ثماني
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
9,3466,"### | غزوة تبوك في رجب سنة تسع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
9,1509,"### | أمر وفد ثقيف وإسلامها في شهر رمضان سنة تسع
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
9,2960,"### | حج أبي بكر بالناس سنة تسع اختصاص النبي صلى الله عليه وسلم علي بن أبي طالب رضوان ms832 الله عليه بتأدية أول براءة عنه، وذكر براءة والقصص في تفسيرها
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
9,176,"### | ذكر سنة تسع وتسميتها سنة الوفود ونزول سورة الفتح
",IbnHisham,SiraNabawiyya,0213,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1
1,366,"### | سنة إحدى من التاريخ 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
2,1660,"### | سنة اثنتين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
3,1916,"### | سنة ثلاث 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
4,529,"### | سنة أربع 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
6,573,"### | سنة ست 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
6,85,"### || سراياه عليه السلام في سنة ست
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
7,714,"### | سنة سبع 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
7,102,"### || سراياه صلى الله عليه وسلم سنة سبع 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
8,896,"### | سنة ثمان 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
9,300,"### | سنة تسع 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
10,105,"### | سنة عشر
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
11,4481,"### | سنة أحدى عشرة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
12,314,"### | سنة اثنتي عشرة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
13,1279,"### | سنة ثلاث عشرة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
14,830,"### | سنة أربع عشرة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
15,1011,"### | سنة خمس عشرة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
16,178,"### | | سنة ست عشرة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
17,554,"### | سنة سبع عشرة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
18,543,"### | سنة ثمان عشرة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
19,241,"### | سنة تسع عشرة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
20,1205,"### | سنة عشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
21,723,"### | سنة إحدى وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
22,347,"### | سنة اثنتين وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
23,889,"### | سنة ثلاث وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
24,177,"### | سنة أربع وعشرين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
25,152,"### | سنة خمس وعشرين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
26,132,"### | سنة ست وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
27,190,"### | سنة سبع وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
28,95,"### | سنة ثمان وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
29,479,"### | سنة تسع وعشرين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
30,539,"### | سنة ثلاثين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
31,109,"### | سنة إحدى وثلاثين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
32,57,"### | سنة اثنتين وثلاثين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
33,173,"### | سنة ثلاث وثلاثين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
34,57,"### | سنة أربع وثلاثين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
35,2705,"### | سنة خمس وثلاثين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
36,2170,"### | سنة ست وثلاثين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
37,181,"### | سنة سبع وثلاثين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
38,1189,"### | سنة ثمان وثلاثين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
39,90,"### | سنة تسع وثلاثين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
40,668,"### | سنة أربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
41,343,"### | سنة إحدى وأربعين معاوية بن أبي سفيان 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
42,118,"### | سنة اثنتين وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
43,85,"### | سنة ثلاث وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
44,114,"### | سنة أربع وأربعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
45,143,"### | سنة خمس واربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
46,76,"### | سنة ست وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
47,72,"### | سنة سبع وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
48,78,"### | سنة ثمان وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
49,116,"### | سنة تسع وأربعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
50,574,"### | سنة خمسين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
51,1549,"### | سنة إحدى وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
52,54,"### | سنة اثنتين وخمسين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
53,815,"### | سنة ثلاث وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
54,171,"### | سنة أربع وخمسين ms119
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
55,79,"### | سنة خمس وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
56,107,"### | سنة ست وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
57,113,"### | سنة سبع وخمسين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
58,121,"### | سنة ثمان وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
59,561,"### | سنة تسع وخمسين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
60,1061,"### | سنة ستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
61,414,"### | سنة إحدى وستين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
62,166,"### | سنة اثنتين وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
63,3536,"### | سنة ثلاث وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
64,1801,"### | سنة أربع وستين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
65,437,"### | سنة خمس وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
66,158,"### |  سنة ست وستين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
67,120,"### | سنة سبع وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
68,108,"### | سنة ثمان وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
69,90,"### | سنة تسع وستين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
70,179,"### | سنة سبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
71,60,"### | سنة أحدى وسبعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
72,232,"### | سنة اثنتين وسبعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
73,286,"### | سنة ثلاث وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
74,147,"### | سنة أربع وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
75,424,"### | سنة خمس وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
76,296,"### | سنة ست وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
77,212,"### | سنة سبع وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
78,247,"### | سنة ثمان وسبعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
79,267,"### | سنة تسع وسبعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
80,146,"### | سنة ثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
81,242,"### | سنة إحدى وثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
82,1550,"### | سنة اثنتين وثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
83,167,"### | سنة ثلاث وثمانين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
84,255,"### | سنة أربع وثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
85,122,"### | سنة خمس وثمانين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
86,1848,"### | سنة ست وثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
87,208,"### | سنة سبع وثمانين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
88,119,"### | سنة ثمان وثمانين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
89,146,"### | سنة تسع وثمانين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
90,65,"### | سنة تسعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
91,60,"### | سنة إحدى وتسعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
92,82,"### | سنة اثنتين وتسعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
93,354,"### | سنة ثلاث وتسعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
94,100,"### | سنة أربع وتسعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
95,454,"### | سنة خمس وتسعين 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
96,896,"### | سنة ست وتسعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
97,159,"### | سنة سبع وتسعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
98,234,"### | سنة ثمان وتسعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
99,937,"### | سنة تسع وتسعين
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
100,60,"### | سنة مائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
101,787,"### | سنة إحدى ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
102,553,"### | سنة اثنتين ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
103,186,"### | سنة ثلاث ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
104,342,"### | سنة أربع ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
105,1089,"### | سنة خمس ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
106,174,"### | سنة ست ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
107,202,"### | سنة سبع ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
108,186,"### | سنة ثمان ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
109,88,"### | سنة تسع ومائة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
110,206,"### | سنة عشر ومائة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
111,163,"### | سنة إحدى عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
112,427,"### | سنة اثنتي عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
113,305,"### |  سنة ثلاث عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
114,146,"### | سنة أربع عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
115,143,"### | سنة خمس عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
116,166,"### | سنة ست عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
117,191,"### | سنة سبع عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
118,152,"### | سنة ثمان عشرة ومائة 
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
119,141,"### | سنة تسع عشرة ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
120,344,"### | سنة عشرين ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
121,180,"### | سنة إحدى وعشرين ومائة
",KhalifaIbnKhayyat,Tarikh,0240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1
