gap_first,gap_last,abnormal_gap,reverse,Author,Book,Death_date,URI,prev_heading,next_heading,prev_date,next_date
16,17,False,False,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | سعد بن سلامة الأنصاري «استشهد يوم جسر المدائن، سنة خمس عشرة»
","### | سهيل بن عمرو بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤي، يكنى أبا يزيد «توفي في الشام في طاعون عمواس سنة ثمان عشرة»
",15,18
20,9,False,True,HusaynDiyarbakri,TarikhKhamis,966,0966HusaynDiyarbakri.TarikhKhamis.Shamela0009784-ara1,"### | (الموطن التاسع فى حوادث السنة التاسعة من الهجرة
","### | (الموطن العاشر فى حوادث السنة العاشرة من الهجرة
",19,10
20,20,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| AUTO ثم دخلت سنة تسع عشرة ذكر الأحدات التي كانت في سنة تسع عشرة
","### |||| AUTO ثم دخلت سنة إحدى وعشرين
",19,21
20,84,True,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الرابعة عشرة من ولاية عبد العزيز بن مروان على مصر وهي سنة تسع
","### ||| السنة الخامسة عشرة من ولاية عبد العزيز بن مروان على مصر وهي سنة ثمانين
",19,85
20,25,False,False,Tabari,Tarikh,310,0310Tabari.Tarikh.Shamela0009783-ara1,"### || سنة تسع عشرة
","### || ثم دخلت سنة ست وعشرين
",19,26
20,20,False,False,CabdQadirCaydarus,TarikhNurSafir,1037,1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,"### | سنة تسع عشر بعد التسعمائة 
","### | سنة إحدى وعشرين بعد التسعمائة 
",19,21
20,20,False,False,IbnCabdWahhab,MukhtasarSira,1206,1206IbnCabdWahhab.MukhtasarSira.Shamela0031465-ara1,"### | حوادث السنة التاسعة عشرة
","### | حوادث السنة الحادية والعشرين
",19,21
21,60,True,False,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | مالك بن التيهان أبو الهيثم الأنصاري «عقبي بدري لم يزل بالمدينة حتى توفي بها سنة عشرين، من أخباره»
","### | مطلب بن ربيعة بن الحارث بن عبد المطلب بن هشام بن عبد مناف "" ويقال: عبد المطلب، والصواب: المطلب، ومات بدمشق، وكان يسكن بها، فتوفي سنة إحدى وستين ""
",20,61
21,22,False,False,IbnRushdJadd,BayanWaTahsil,520,0520IbnRushdJadd.BayanWaTahsil.Shamela0021751-ara1,"### | مسألة: يبيع سلعة بثمن إلى ثلاثين سنة أو عشرين
","### | أحداث آخر السنة الثالثة من هجرة النبي عليه السلام
",20,23
21,58,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 41 ومن ذكر أبي سفيان بن الحارث بن عبد المطلب بن هاشم واسمه المغيرة رضي الله عنه توفي سنة عشرين )
","### || 55 جبير بن مطعم بن عدي بن نوفل بن عبد مناف بن قصي ويكنى أبا محمد ويقولون أبو عدي مات سنة تسع وخمسين وأمه أم جميل بنت سعيد بن عبد الله بن أبي قيس بن عبد ود من بني عامر بن لؤي
",20,59
21,36,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### | ( 13 ومن ذكر بلال بن رباح أبي عبد الله مولى أبي بكر الصديق رضي الله عنهما مهاجري أولي بدري مات سنة عشرين من )
","### | ( 15 ومن ذكر خباب بن الأرت يكنى أبا عبد الله وتوفي سنة سبع وثلاثين وهو بن ثلاث وسبعين وقال قوم هو )
",20,37
21,18,False,True,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| CHECK ثم دخلت سنة عشرين ذكر الخبر عن فتحها وفتح الإسكندرية
","### |||| AUTO ثم دخلت سنة تسع عشرة ذكر الأحدات التي كانت في سنة تسع عشرة
",20,19
21,62,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 1065 زينب بنت جحش بن رياب بن أسد بن خزيمة توفيت سنة عشرين رضي الله عنها )
","### ||| ( 1067 ميمونة بنت الحارث رضي الله عنها وتوفيت سنة ثلاث وستين عام الحرة )
",20,63
23,26,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| AUTO ثم دخلت سنة اثنتين وعشرين ذكر فتح همذان
","### |||| AUTO ثم دخلت سنة سبع وعشرين
",22,27
23,60,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 551 وقتادة بن النعمان يكنى أبا عمرو رضي الله عنه توفي سنة اثنتين وعشرين وقالوا ثلاث وعشرين وهو بن خمس وستين سنة من )
","### || ( 563 وجبر بن عتيك بن الحارث بن قيس بن معاوية بن مالك بن عوف بدري رضي الله عنه توفي سنة إحدى وستين )
",22,61
23,421,True,False,IbnCubaydAllahHarbi,Amali,423,0423IbnCubaydAllahHarbi.Amali.ShamAY0033567-ara1,"### | AUTO مجلس يوم الجمعة السادس وعشرين من شعبان سنة اثنتين وعشرين
","### | AUTO مجلس يوم الجمعة الحادي من شوال من سنة اثنتين وعشرين وأربع مئة
",22,422
23,23,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| AUTO ثم دخلت سنة اثنتين وعشرين
","### |||| AUTO ثم دخلت سنة أربع وعشرين ذكر ما كان فيها من الأحداث المشهورة
",22,24
24,24,False,False,CabdQadirCaydarus,TarikhNurSafir,1037,1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,"### | سنة ثلاث وعشرين بعد التسعمائة 
","### | سنة خمس وعشرين بعد التسعمائة 
",23,25
24,26,False,False,IbnRushdJadd,BayanWaTahsil,520,0520IbnRushdJadd.BayanWaTahsil.Shamela0021751-ara1,"### | أحداث آخر السنة الثالثة من هجرة النبي عليه السلام
","### | أحداث السنة السابعة من الهجرة
",23,27
24,24,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الرابعة من ولاية عمرو الأولى على مصر وهي سنة ثلاث وعشرين من
","### ||| السنة الأولى من ولاية عبد الله بن سعد بن أبي سرح على مصر وهي سنة خمس
",23,25
24,24,False,False,IbnDawadari,KanzDurar,736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,"### ||| ذكر سنة ثلاث وعشرين
","### ||| ذكر سنة خمس وعشرين
",23,25
29,29,False,False,MuhammadRabci,TarikhMawlidCulama,379,0379MuhammadRabci.TarikhMawlidCulama.JK000651-ara1,"### | سنة ثمان وعشرين وتسع وعشرين 
","### | سنة ثلاثين
",28,30
29,427,True,False,IbnBushranBaghdadi,Amali,430,0430IbnBushranBaghdadi.Amali.Shamela0001453-ara1,"### | المجلس الخامس والخمسون والستمائة في شهر رمضان سنة ثمان وعشرين
","### | المجلس الحادي والستون والستمائة من الأمالي، في ذي القعدة سنة ثمان وعشرين وأربعمائة
",28,428
29,35,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الرابعة من ولاية ابن أبي سرح على مصر وهي سنة ثمان وعشرين - فيها
","### ||| السنة السادسة من ولاية ابن أبي سرح على مصر وهي سنة ثلاثين بعد الهجرة -
",28,36
29,29,False,False,Jabarti,CajaibAthar,1237,1237Jabarti.CajaibAthar.Shamela0011998-ara1,"### | سنة ثمان وعشرين.
","### | سنة ثلاثين.
",28,30
31,32,False,False,CabdQadirCaydarus,TarikhNurSafir,1037,1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,"### | سنة أثنين وثلاثين بعد التسعمائة 
","### | سنة ثلاث وثلاثين بعد التسعمائة 
",30,33
31,31,False,False,Tabari,Tarikh,310,0310Tabari.Tarikh.Shamela0009783-ara1,"### || سنة ثلاثين
","### || ثم دخلت سنة اثنتين وثلاثين
",30,32
34,62,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 571 محمد بن مسلمة بن سلمة بن خالد بن عدي بن مجدعة بن حارثة بن الحارث بدري رضي الله عنه توفي سنة ثلاث )
","### || ( 574 وعبد الله بن زيد عم عباد بن تميم رضي الله عنه قتل في أيام الحرة سنة ثلاث وستين ذكروا أنه بدري )
",33,63
34,34,False,False,Tabari,Tarikh,310,0310Tabari.Tarikh.Shamela0009783-ara1,"### || سنة ثلاث وثلاثين
","### || سنة خمس وثلاثين
",33,35
34,37,False,False,Jabarti,CajaibAthar,1237,1237Jabarti.CajaibAthar.Shamela0011998-ara1,"### | سنة ثلاث وثلاثين.
","### | سنة ثمان وثلاثين.
",33,38
35,31,False,True,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| AUTO ثم دخلت سنة أربع وثلاثين ذكر ما كان فيها من الأحداث المذكورة
","### ||| AUTO ثم كانت السنة الثانية من الهجرة
",34,32
35,37,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة العاشرة من ولاية ابن أبي سرح على مصر وهي سنة أربع وثلاثين - فيها
","### ||| السنة الأولى من ولاية عمرو بن العاص الثانية على مصر وهي سنة ثمان
",34,38
35,35,False,False,IbnDawadari,KanzDurar,736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,"### ||| ذكر سنة أربع وثلاثون
","### ||| ذكر سنة ست وثلاثين
",34,36
35,32,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 564 وأبو عبس بن جبر بن عمرو بن زيد واسمه عبد الرحمن رضي الله عنه توفي بالمدينة في سنة أربع وثلاثين وكان يخضب )
","### || ( 571 محمد بن مسلمة بن سلمة بن خالد بن عدي بن مجدعة بن حارثة بن الحارث بدري رضي الله عنه توفي سنة ثلاث )
",34,33
35,35,False,False,IbnHibbanBusti,Thiqat,354,0354IbnHibbanBusti.Thiqat.Shamela0005816-ara1,"### || وفي السنة الرابعة والثلاثين 
","### || فلما دخلت السنة السادسة والثلاثون
",34,36
39,42,False,False,Bayhaqi,DalailNubuwwa,458,0458Bayhaqi.DalailNubuwwa.JK006838-ara1,"### || باب ما جاء في إخباره زوجته ميمونة بنت الحارث أنها لا تموت بمكة فماتت بسرف سنة ثمان وثلاثين 
","### || باب ما جاء في إخباره ببقاء عبد الله بن سلام على الإسلام حتى يموت وأنه لا ينال الشهادة فكان كما أخبر توفي على الإسلام في أول أيام معاوية بن أبي سفيان سنة ثلاث وأربعين &
",38,43
39,113,True,False,Jabarti,CajaibAthar,1237,1237Jabarti.CajaibAthar.Shamela0011998-ara1,"### | سنة ثمان وثلاثين.
","### | في ذكر حوادث مصر وولاتها وتراجم أعيانها ms0257 ووفياتهم ابتداء من سنة 1143.
",38,114
39,39,False,False,IbnCabdWahhab,MukhtasarSira,1206,1206IbnCabdWahhab.MukhtasarSira.Shamela0031465-ara1,"### | حوادث سنة ثمان وثلاثين
","### | حوادث سنة أربعين
",38,40
40,60,False,False,IbnDawadari,KanzDurar,736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,"### ||| ذكر سنة تسع وثلاثين
","### ||| ذكر سنة إحدى وستين
",39,61
40,40,False,False,SibtIbnJawzi,MiratZaman,654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1,"### || AUT السنة التاسعة والثلاثون
","### || AUT السنة الحادية والأربعون
",39,41
40,9,False,True,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### ||| AUTO ثم دخلت سنة تسع
","### ||| AUTO ثم دخلت سنة عشر
",39,10
40,42,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الثانية من ولاية عمرو الثانية على مصر وهي سنة تسع وثلاثين - فيها
","### ||| السنة الثالثة من ولاية عمرو بن العاص الثانية على مصر وهي سنة أربعين -
",39,43
50,50,False,False,IbnCabdWahhab,MukhtasarSira,1206,1206IbnCabdWahhab.MukhtasarSira.Shamela0031465-ara1,"### | حوادث سنة تسع وأربعين
","### | حوادث سنة إحدى وخمسين
",49,51
50,79,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 35 ومن ذكر الحسن بن علي بن أبي طالب يكنى أبا محمد توفي بالمدينة ودفن بالبقيع وصلى عليه سعيد بن العا صلى الله عليه وسلم وتوفي سنة تسع وأربعين وهو بن ثمان وأربعين سنة رضوان الله عليه )
","### || ( 37 ومن ذكر عبد الله بن جعفر بن أبي طالب رضي الله عنه يكنى أبا جعفر وأمه أسماء بنت عميس مات سنة ثمانين )
",49,80
50,52,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الثانية من ولاية مسلمة بن مخلد على مصر وهي سنة تسع وأربعين فيها
","### ||| السنة الثالثة من ولاية مسلمة بن مخلد على مصر وهي سنة خمسين من الهجرة
",49,53
60,70,False,False,CabdQadirCaydarus,TarikhNurSafir,1037,1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,"### | سنة تسع وخمسين بعد التسعمائة 
","### | سنة إحدى وسبعين بعد التسعمائة 
",59,71
60,14,False,True,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | جبير بن مطعم بن عدي بن نوفل بن عبد مناف يكنى أبا محمد، ويقال أبا عدي، وأمه أم حبيب بنت شعبة بن عبد الله بن أبي قيس بن عبد ود بن نضر بن مالك بن حسل بن عامر بن لؤي، وأمها بنت العاص بن أمية بن عبد شمس بن عبد مناف، توفي سنة تسع وخمسين
","### | الحارث بن عدي بن مالك الأنصاري «استشهد يوم الجسر سنة خمس عشرة»
",59,15
60,52,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 75 عبد الله بن عامر بن كريز بن حبيب بن عبد شمس مات سنة تسع وخمسين )
","### || ( 111 ومن ذكر عبد الرحمن بن عثمان التيمى رضي الله عنه يكنى أبا سعيد توفي سنة ثلاث وخمسين )
",59,53
60,62,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة ms0118 الثانية عشرة من ولاية مسلمة بن مخلد على مصر وهي سنة تسع وخمسين
","### ||| السنة الثالثة عشرة من ولاية مسلمة بن مخلد على مصر وهي سنة ستين فيها
",59,63
60,100,True,False,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1,"### || AUTO سنة تسع وخمسين:
","### || AUTO سنة 101: في شهر رجب توفي عمر بن عبد العزيز بدير سمعان وله
",59,101
64,51,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 574 وعبد الله بن زيد عم عباد بن تميم رضي الله عنه قتل في أيام الحرة سنة ثلاث وستين ذكروا أنه بدري )
","### || ( 594 كعب بن عجرة يكنى أبا محمد رضي الله عنه توفي سنة اثنتين وخمسين )
",63,52
64,55,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 1067 ميمونة بنت الحارث رضي الله عنها وتوفيت سنة ثلاث وستين عام الحرة )
","### ||| ( 1068 جويرية بنت الحارث رضي الله عنها توفيت سنة ست وخمسين )
",63,56
64,65,False,False,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الأولى من ولاية سعيد ms0124 بن يزيد على مصر وهي سنة ثلاث وستين فيها غزا
","### ||| السنة الأولى من ولاية عبد العزيز بن مروان على مصر وهي سنة ست وستين -
",63,66
64,60,False,True,IbnTaghribirdi,NujumZahira,874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1,"### ||| السنة الثالثة عشرة من ولاية مسلمة بن مخلد على مصر وهي سنة ستين فيها
","### ||| السنة الرابعة عشرة من ولاية مسلمة بن مخلد على مصر وهي سنة إحدى وستين
",63,61
64,66,False,False,IbnDawadari,KanzDurar,736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,"### ||| ذكر سنة ثلث وستين
","### ||| ذكر سنة سبع وستين
",63,67
75,86,False,False,IbnDawadari,KanzDurar,736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,"### ||| ذكر سنة أربع وسبعين
","### ||| ذكر سنة سبع وثمانين
",74,87
