gap_first,gap_last,abnormal_gap,reverse,Author,Book,Death_date,URI,prev_heading,next_heading,prev_date,next_date
276,278,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة خمس وسبعين
","### ||| سنة تسع وسبعين
",275,279
280,281,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة تسع وسبعين
","### ||| سنة اثنتين وثمانين
",279,282
284,285,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ثلاث وثمانين
","### ||| سنة ست وثمانين
",283,286
287,292,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ست وثمانين
","### ||| سنة ثلاث وتسعين
",286,293
296,297,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة خمس وتسعين
","### ||| سنة ثمان وتسعين
",295,298
300,99,False,True,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة تسع وتسعين
","### ||| سنة مائة
",299,100
104,104,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ثلاث ومائة
","### ||| سنة خمس ومائة
",103,105
107,108,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ست ومائة
","### ||| سنة تسع ومائة
",106,109
111,112,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة عشر ومائة
","### ||| سنة ثلاث عشرة ومائة
",110,113
115,116,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة أربع عشرة ومائة
","### ||| سنة سبع عشرة ومائة
",114,117
118,118,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة سبع عشرة ومائة
","### ||| سنة تسع عشرة
",117,119
121,121,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة عشرين ومائة
","### ||| سنة اثنتين وعشرين ومائة
",120,122
123,123,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة اثنتين وعشرين ومائة
","### ||| سنة أربع وعشرين ومائة
",122,124
127,127,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ست وعشرين ومائة
","### ||| سنة ثمان وعشرين ومائة
",126,128
129,130,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ثمان وعشرين ومائة
","### ||| سنة احدى وثلاثين ومائة
",128,131
21,36,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### | ( 13 ومن ذكر بلال بن رباح أبي عبد الله مولى أبي بكر الصديق رضي الله عنهما مهاجري أولي بدري مات سنة عشرين من )
","### | ( 15 ومن ذكر خباب بن الأرت يكنى أبا عبد الله وتوفي سنة سبع وثلاثين وهو بن ثلاث وسبعين وقال قوم هو )
",20,37
38,48,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### | ( 15 ومن ذكر خباب بن الأرت يكنى أبا عبد الله وتوفي سنة سبع وثلاثين وهو بن ثلاث وسبعين وقال قوم هو )
","### || ( 35 ومن ذكر الحسن بن علي بن أبي طالب يكنى أبا محمد توفي بالمدينة ودفن بالبقيع وصلى عليه سعيد بن العا صلى الله عليه وسلم وتوفي سنة تسع وأربعين وهو بن ثمان وأربعين سنة رضوان الله عليه )
",37,49
50,79,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 35 ومن ذكر الحسن بن علي بن أبي طالب يكنى أبا محمد توفي بالمدينة ودفن بالبقيع وصلى عليه سعيد بن العا صلى الله عليه وسلم وتوفي سنة تسع وأربعين وهو بن ثمان وأربعين سنة رضوان الله عليه )
","### || ( 37 ومن ذكر عبد الله بن جعفر بن أبي طالب رضي الله عنه يكنى أبا جعفر وأمه أسماء بنت عميس مات سنة ثمانين )
",49,80
81,19,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 37 ومن ذكر عبد الله بن جعفر بن أبي طالب رضي الله عنه يكنى أبا جعفر وأمه أسماء بنت عميس مات سنة ثمانين )
","### || ( 41 ومن ذكر أبي سفيان بن الحارث بن عبد المطلب بن هاشم واسمه المغيرة رضي الله عنه توفي سنة عشرين )
",80,20
21,58,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 41 ومن ذكر أبي سفيان بن الحارث بن عبد المطلب بن هاشم واسمه المغيرة رضي الله عنه توفي سنة عشرين )
","### || 55 جبير بن مطعم بن عدي بن نوفل بن عبد مناف بن قصي ويكنى أبا محمد ويقولون أبو عدي مات سنة تسع وخمسين وأمه أم جميل بنت سعيد بن عبد الله بن أبي قيس بن عبد ود من بني عامر بن لؤي
",20,59
60,52,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 75 عبد الله بن عامر بن كريز بن حبيب بن عبد شمس مات سنة تسع وخمسين )
","### || ( 111 ومن ذكر عبد الرحمن بن عثمان التيمى رضي الله عنه يكنى أبا سعيد توفي سنة ثلاث وخمسين )
",59,53
54,85,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 111 ومن ذكر عبد الرحمن بن عثمان التيمى رضي الله عنه يكنى أبا سعيد توفي سنة ثلاث وخمسين )
","### || 115 بن عبد الأسد توفي بالمدينة سنة ست وثمانين وفي هذه السنة مات أخوه سلمة بن أبي سلمة وأمة أم سلمة رضي الله
",53,86
87,20,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || 115 بن عبد الأسد توفي بالمدينة سنة ست وثمانين وفي هذه السنة مات أخوه سلمة بن أبي سلمة وأمة أم سلمة رضي الله
","### || ( 120 ومن ذكر خالد بن الوليد ابن المغيره يكنى أبا سليمان رضي الله عنه مات بحمص في سنة إحدى وعشرين وأمه لبابة بنت )
",86,21
22,12,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 120 ومن ذكر خالد بن الوليد ابن المغيره يكنى أبا سليمان رضي الله عنه مات بحمص في سنة إحدى وعشرين وأمه لبابة بنت )
","### || ( 121 ومن ذكر عكرمة بن أبي جهل استشهد بأجنادين سنة ثلاث عشرة رضي الله عنه )
",21,13
14,84,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 121 ومن ذكر عكرمة بن أبي جهل استشهد بأجنادين سنة ثلاث عشرة رضي الله عنه )
","### || ( 142 ومن ذكر عبد الله بن عامر بن ربيعه رضي الله عنه توفي سنة خمس وثمانين وهو بن ست وثمانين سنة حليف للخطاب )
",13,85
87,35,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 148 ومن ذكر محمد بن حاطب يكني أبا إبراهيم توفي سنة ست وثمانين )
","### || 160 سعد بن أبي سرح بن حذيفة بن نصر بن مالك بن حسل بن عامر بن لؤي مات في سنة ست وثلاثين بفلسطين كان بمصر ثم تحول إلى فلسطين
",86,36
37,85,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || 160 سعد بن أبي سرح بن حذيفة بن نصر بن مالك بن حسل بن عامر بن لؤي مات في سنة ست وثلاثين بفلسطين كان بمصر ثم تحول إلى فلسطين
","### || ( 169 بسر بن أبي أرطاة ويكنى أبا عبد الرحمن توفي سنة ست وثمانين واسم أبي أرطاة عمير بن عويمر بن عمران )
",36,86
87,65,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 169 بسر بن أبي أرطاة ويكنى أبا عبد الرحمن توفي سنة ست وثمانين واسم أبي أرطاة عمير بن عويمر بن عمران )
","### ||| ( 427 جابر بن سمرة رضي الله عنه توفي سنة ست وستين )
",86,66
67,53,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 427 جابر بن سمرة رضي الله عنه توفي سنة ست وستين )
","### || ( 533 ذكر أبي قتادة الأنصاري واسمه الحارث بن ربعي توفي سنة أربع وخمسين رضي الله عنه )
",66,54
55,39,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 533 ذكر أبي قتادة الأنصاري واسمه الحارث بن ربعي توفي سنة أربع وخمسين رضي الله عنه )
","### || ( 538 أبو أسيد مالك بن ربيعة رضي الله عنه توفي سنة أربعين من بني ساعدة بن كعب بن الخزرج بدري عقبي )
",54,40
41,11,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 538 أبو أسيد مالك بن ربيعة رضي الله عنه توفي سنة أربعين من بني ساعدة بن كعب بن الخزرج بدري عقبي )
","### || ( 541 ثابت بن قيس بن شماس يكنى أبا محمد استشهد يوم اليمامة وكانت في سنة ثنتي عشرة بدري رضي الله عنه )
",40,12
13,21,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 541 ثابت بن قيس بن شماس يكنى أبا محمد استشهد يوم اليمامة وكانت في سنة ثنتي عشرة بدري رضي الله عنه )
","### || ( 551 وقتادة بن النعمان يكنى أبا عمرو رضي الله عنه توفي سنة اثنتين وعشرين وقالوا ثلاث وعشرين وهو بن خمس وستين سنة من )
",12,22
23,60,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 551 وقتادة بن النعمان يكنى أبا عمرو رضي الله عنه توفي سنة اثنتين وعشرين وقالوا ثلاث وعشرين وهو بن خمس وستين سنة من )
","### || ( 563 وجبر بن عتيك بن الحارث بن قيس بن معاوية بن مالك بن عوف بدري رضي الله عنه توفي سنة إحدى وستين )
",22,61
62,33,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 563 وجبر بن عتيك بن الحارث بن قيس بن معاوية بن مالك بن عوف بدري رضي الله عنه توفي سنة إحدى وستين )
","### || ( 564 وأبو عبس بن جبر بن عمرو بن زيد واسمه عبد الرحمن رضي الله عنه توفي بالمدينة في سنة أربع وثلاثين وكان يخضب )
",61,34
35,32,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 564 وأبو عبس بن جبر بن عمرو بن زيد واسمه عبد الرحمن رضي الله عنه توفي بالمدينة في سنة أربع وثلاثين وكان يخضب )
","### || ( 571 محمد بن مسلمة بن سلمة بن خالد بن عدي بن مجدعة بن حارثة بن الحارث بدري رضي الله عنه توفي سنة ثلاث )
",34,33
34,62,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 571 محمد بن مسلمة بن سلمة بن خالد بن عدي بن مجدعة بن حارثة بن الحارث بدري رضي الله عنه توفي سنة ثلاث )
","### || ( 574 وعبد الله بن زيد عم عباد بن تميم رضي الله عنه قتل في أيام الحرة سنة ثلاث وستين ذكروا أنه بدري )
",33,63
64,51,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 574 وعبد الله بن زيد عم عباد بن تميم رضي الله عنه قتل في أيام الحرة سنة ثلاث وستين ذكروا أنه بدري )
","### || ( 594 كعب بن عجرة يكنى أبا محمد رضي الله عنه توفي سنة اثنتين وخمسين )
",63,52
53,53,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 594 كعب بن عجرة يكنى أبا محمد رضي الله عنه توفي سنة اثنتين وخمسين )
","### || ( 597 حسان بن ثابت رضي الله عنه توفي سنة أربع وخمسين )
",52,54
55,67,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 597 حسان بن ثابت رضي الله عنه توفي سنة أربع وخمسين )
","### || ( 605 رافع بن خديج يكنى أبا عبد الله رضي الله عنه توفي سنة ثمان وستين )
",54,68
69,74,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 605 رافع بن خديج يكنى أبا عبد الله رضي الله عنه توفي سنة ثمان وستين )
","### || 869 أبو ثعلبة الخشني واسمه جرثوم وقالوا جرهم بن ناشر توفي سنة خمس وسبعين حدثني عبد الرحمن بن عمر نا أبو مسهر قال اسم أبي ثعلبة الحشني جرثوم
",68,75
76,43,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || 869 أبو ثعلبة الخشني واسمه جرثوم وقالوا جرهم بن ناشر توفي سنة خمس وسبعين حدثني عبد الرحمن بن عمر نا أبو مسهر قال اسم أبي ثعلبة الحشني جرثوم
","### ||| ( 1063 أم حبيبة بنت أبي سفيان رضي الله عنها  وأسم أم حبيبة رملة توفيت سنة أربع وأربعين )
",75,44
45,19,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 1063 أم حبيبة بنت أبي سفيان رضي الله عنها  وأسم أم حبيبة رملة توفيت سنة أربع وأربعين )
","### ||| ( 1065 زينب بنت جحش بن رياب بن أسد بن خزيمة توفيت سنة عشرين رضي الله عنها )
",44,20
21,62,True,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 1065 زينب بنت جحش بن رياب بن أسد بن خزيمة توفيت سنة عشرين رضي الله عنها )
","### ||| ( 1067 ميمونة بنت الحارث رضي الله عنها وتوفيت سنة ثلاث وستين عام الحرة )
",20,63
64,55,False,True,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### ||| ( 1067 ميمونة بنت الحارث رضي الله عنها وتوفيت سنة ثلاث وستين عام الحرة )
","### ||| ( 1068 جويرية بنت الحارث رضي الله عنها توفيت سنة ست وخمسين )
",63,56
222,230,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || عاصم بن علي بن عاصم أبو الحسين توفي سنة إحدى وعشرين ومائتين
","### || عمر بن عثمان بن عاصم بن صهيب أبو حفص توفي سنة إحدى وثلاثين ومائتين. وكان أبيض الرأس واللحية
",221,231
232,236,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || عمر بن عثمان بن عاصم بن صهيب أبو حفص توفي سنة إحدى وثلاثين ومائتين. وكان أبيض الرأس واللحية
","### || أخوه محمد بن أبان بن عمران أبو الحسن. وكان يخضب بالحناء. وكان فقيها. توفي سنة سبع وثلاثين ومائتين
",231,237
238,194,False,True,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || أخوه محمد بن أبان بن عمران أبو الحسن. وكان يخضب بالحناء. وكان فقيها. توفي سنة سبع وثلاثين ومائتين
","### || صالح بن سليمان بن أبي حكيم العطار. توفي سنة خمس وتسعين ومائة. اخبرني بذلك ابن أخيه
",237,195
196,201,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || صالح بن سليمان بن أبي حكيم العطار. توفي سنة خمس وتسعين ومائة. اخبرني بذلك ابن أخيه
","### || حفص بن عمر بن أبي حفص يعرف بالنجار وتوفي سنة اثنتين ومائتين أو واحدة
",195,202
203,224,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || حفص بن عمر بن أبي حفص يعرف بالنجار وتوفي سنة اثنتين ومائتين أو واحدة
","### || سعيد بن سليمان أبو عثمان [181] ولد بواسط ونشأ بها ثم خرج إلى بغداد فأقام بها فمات سنة خمس وعشرين ومائتين
",202,225
226,131,False,True,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || سعيد بن سليمان أبو عثمان [181] ولد بواسط ونشأ بها ثم خرج إلى بغداد فأقام بها فمات سنة خمس وعشرين ومائتين
","### || أبو جعفر أحمد بن حماد بن شجاع الحرار وكان يخضب. توفي سنة ثنتين وثلاثين ومائة 
",225,132
133,232,True,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || أبو جعفر أحمد بن حماد بن شجاع الحرار وكان يخضب. توفي سنة ثنتين وثلاثين ومائة 
","### || أبو محمد نصير بن إبراهيم بن سيار المقري. توفي سنة ثلاث وثلاثين ومائتين
",132,233
234,237,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || أبو محمد نصير بن إبراهيم بن سيار المقري. توفي سنة ثلاث وثلاثين ومائتين
","### || أبو حفص عمر بن صالح بن زياد. كان يعرف بابن جبيرة. توفي سنة ثمان وثلاثين ومائتين
",233,238
239,239,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || أبو حفص عمر بن صالح بن زياد. كان يعرف بابن جبيرة. توفي سنة ثمان وثلاثين ومائتين
","### || القاسم بن عيسى بن إبراهيم بن يزيد أبو محمد وكان إبراهيم يكنى بأبي القاسم وهو الطائي. توفي سنة أربعين ومائتين
",238,240
241,243,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || القاسم بن عيسى بن إبراهيم بن يزيد أبو محمد وكان إبراهيم يكنى بأبي القاسم وهو الطائي. توفي سنة أربعين ومائتين
","### || عبد الحميد بن بيان بن زكريا بن خالد بن أسلم العطاردي. توفي سنة أربع وأربعين ومائتين. وكان يخضب
",240,244
245,233,False,True,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || عبد الحميد بن بيان بن زكريا بن خالد بن أسلم العطاردي. توفي سنة أربع وأربعين ومائتين. وكان يخضب
","### || أبو الحسين سعد بن وهب بن سنان السلمي توفي سنة أربع وثلاثين ومائتين
",244,234
235,230,False,True,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || أبو الحسين سعد بن وهب بن سنان السلمي توفي سنة أربع وثلاثين ومائتين
","### || حميد بن عميرة الخباز وكان يخضب. توفي سنة احدى وثلاثين ومائتين
",234,231
232,232,False,False,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || حميد بن عميرة الخباز وكان يخضب. توفي سنة احدى وثلاثين ومائتين
","### || أبو بكر سيف بن يزيد بن محمد بن رزمان «18» توفي سنة ثلاث وثلاثين ومائتين
",231,233
235,227,False,True,Bahshal,TarikhWasit,292,0292Bahshal.TarikhWasit.Shamela0011766-ara1,"### || زكريا بن يحيى الاحمر توفي سنة أربع وثلاثين ومائتين
","### || محمد بن عيسى بن بحر بن حبيب أبو الحسن توفي سنة ثماني وعشرين ومائتين
",234,228
