string,date,year_type,date_2,year_type_2,predicted_year,evaluation_year,years_pre,md_level,section_word_count,Author,Book,Death_date,URI,Notes,heading_two_dates,Range
"### ||| مجلس الأنس
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,435,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وفي فصل له في ذكر الشعراء
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,557,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من أخبار بني ذي النون وذكر أولية أمرهم
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,919,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ذكر الخبر عن بعض ما تناهى إليه المأمون من تشييد البنيان بقصور طليطلة
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,463,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ذكر الخبر عن مآل حفيده المتلقب بالقادر مع ما يتشبث به من خبر نادر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,346,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| مقتل الفقيه أبي بكر بن الحديدي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,828,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| فرار حفيد ابن ذي النون من طليطلة ودخول المتوكل
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,565,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| خروج المتوكل من طليطلة ورجوع ابن ذي النون إليها
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,403,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| بقية الحديث عن شؤون ابن ذي النون بطليطلة وإسلامها لظهيرة الطاغية أذفونش وما انطوى في ذلك من خبر والتف به من قبيح أثر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1129,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب الكامل أبي عبد الله محمد بن شرف وسياقة جملة وافرة من نظمه ونثره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,10678,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من نثره مع ما يتشبث به من شعره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,778,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| رجع
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,956,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| فصول من نثره في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,845,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| فصول له في الذم ونقض ما تقدم
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,733,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن ترسيله
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1814,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| رجع
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,588,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| مقامة له أخرى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,472,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ما أخرجته من شعر ابن شرف في أوصاف شتى النسيب وما يناسبه
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,426,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن قصائده المطولة في المدح وما يتشبث به من سائر الأوصاف
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,761,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| سائر مقطوعات له في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,398,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ما أخرجته من مراثيه لأهل القيروان بلده
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1485,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من أخبار ابن السقاء القرطبي مدبر الملك الجهوري
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1190,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب الأستاذ أبي الحسن علي بن عبد الغني الكفيف المعروف بالحصري واجتلاب جملة من نظمه ونثره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,4593,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة ما أخرجته من نثر الحصري المكفوف
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,990,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ما أخرجته من شعره في أوصاف شتى للنسيب وما يتشبث به
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,524,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وله في المديح
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,637,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ذكر الخبر عن دانية وكيف تغلب عليها يومئذ المقتدر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,520,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| مقطوعات للحصري في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,141,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ما أخرجته من مراثيه مع ما يتشبث بها
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1076,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن شعره مما خاطب به الفقيه القاضي أبا المطرف الشعبي بمالقة من جملة قصيدة
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,543,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ذكر الأديب أبي الحسن عبد الكريم بن فضال القيرواني واشتهرت معرفته بأفقنا بالحلواني وسياقه جملة من ms1504 شعره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2001,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| النسيب وما يناسبه
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,837,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ما أخرجته من قصائده المطولة في المديح وما يتثبت به من الأوصاف
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1141,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب أبي العرب الصقلي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,925,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || في ذكر الأديب الكاتب أبي عبد الله محمد بن الصباغ الصقلي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,1902,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || في ذكر الأديب أبي محمد عبد الجبار بن حمديس الصقلي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2651,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن شعره في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,718,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الوزير الحكيم أبي محمد المصري
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2208,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن شعره في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1258,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من مقطوعات المصري في فنون مختلفة
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,518,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || في ذكر أبي محمد ms1537 ابن الطلاء المهدوي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,485,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب الفقيه أبي بكر ابن الحسن المرادي القروي وإثبات قطعة من أشعاره وطريف أخباره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,575,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || الأديب أبو الحسن البغدادي المعروف بالفكيك
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,885,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || الأديب أبو زكريا يحيى بن الزيتوني من مدينة فاس
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,204,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب أبي بكر بن العطار اليابسي الدار
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,482,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر ابن القابلة السبتي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,326,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الشريف أبي القاسم المرتضي ذي المجدين علم الهدى 1 ) وإثبات جملة من شعره الذي شرف بقائله وطائله ، وعرف بجلابة ناظمه ، وأصلة مبادية وخواتمه . | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,1488,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من شعره في أوصاف شتى وفي وصف الطيف | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1413,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الوزير أبي القاسم الحسين بن علي المغربي ) واجتلاب سابق أشعاره ، ورائق أخباره |
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,6818,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( فصل من رسائله )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,2695,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( فصول من سائر ترسيله )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,2290,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وهذه أيضا جملة من شعره في أوصاف شتى | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1122,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الفقيه الحافظ عبد الوهاب بن نصر المالكي البغدادي ناصر دين المالكية ، وإيراد قطعة من شعره الذي هو حلاوة الأمان ، وبشر وجه الزمان )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2216,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الأديب الأريب أبي عبد الله بن قاضي ميلة )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,1258,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر أبي الحسن علي بن محمد التهامي )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2023,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من شعره في أوصاف شتى 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1989,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### |||| المدح وما يتصل به من النسب | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,4,1611,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### |||| ( ومن سائر شعره في أوصاف مختلفة 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,4,387,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر مهيار الديلمي ) وذكر جملة من شعره ، مع ما يتعلق بذكره | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,1561,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة من شعره في اوصاف مختلفة ) | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1503,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر أبي منصور عبد الملك بن إسماعيل الثعالبي الخراساني ) والإتيان بطرق من خبرة وحميد أثره | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,4116,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ومن كلامه في صدر كتاب اليتيمة | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,2374,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وهذه أيضا جملة من شعره | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,376,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الشيخ أبي إسحاق إبراهيم بن علي بن تميم المعروف بالحصري ) واجتلاب جملة من كلامه |
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,2304,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( فصول من كلامه اندرجت في تواليفه ، من نثره ونظامه )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1455,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وهذه أيضا جملة من شعره | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,698,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الأديب الكامل أبي علي بن رشيق المسيلي ) وسياقه طرف من غرائب أشعاره ، وعجائب أخباره | 
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,3231,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
